ID,"
ZIP",Total PIF Q1 2010,Total PIF Q2 2010,Total PIF Q3 2010,Total PIF Q4 2010,Total PIF Q1 2011,P&C PIF Q1 2010,P&C PIF Q2 2010,P&C PIF Q3 2010,P&C PIF Q4 2010,P&C PIF Q1 2011,AF PIF Q1 2010,AF PIF Q2 2010,AF PIF Q3 2010,AF PIF Q4 2010,AF PIF Q1 2011,% multi-line Q1 2010,% multi-line Q2 2010,% multi-line Q3 2010,% multi-line Q4 2010,% multi-line Q1 2011,% Retention Q1 2010,% Retention Q2 2010,% Retention Q3 2010,% Retention Q4 2010,% Retention Q1 2011,created_at,updated_at
21,30,441,46,146,318,176,313,17,108,77,232,417,18,359,477,255,19,60,5,90,51,22,70,52,63,55,14/9/18 0:00,14/9/18 0:00
22,31,360,495,408,188,171,324,65,3,310,61,305,35,51,41,327,17,76,7,44,60,97,59,82,77,82,14/9/18 0:00,14/9/18 0:00
23,32,268,458,223,353,199,472,258,16,473,399,118,354,170,208,306,38,55,54,27,90,58,27,41,36,87,14/9/18 0:00,14/9/18 0:00
24,33,133,180,62,298,359,223,211,293,439,134,330,438,17,130,403,93,36,52,35,29,93,52,56,97,68,14/9/18 0:00,14/9/18 0:00
25,34,220,199,464,115,120,446,155,142,28,33,40,389,317,52,314,69,60,4,40,3,39,59,59,66,16,14/9/18 0:00,14/9/18 0:00
26,35,134,75,200,368,113,13,257,58,281,499,402,207,179,198,68,11,11,8,2,85,36,9,91,94,92,14/9/18 0:00,14/9/18 0:00
27,36,280,314,138,318,271,239,33,239,258,427,179,40,295,256,348,44,94,99,21,96,47,94,64,39,68,14/9/18 0:00,14/9/18 0:00
28,37,239,432,46,328,353,246,180,253,161,71,364,474,367,342,337,45,76,63,70,64,99,18,47,8,70,14/9/18 0:00,14/9/18 0:00
29,38,452,177,479,362,483,359,96,311,82,15,296,144,378,117,471,47,40,78,11,53,28,86,50,94,11,14/9/18 0:00,14/9/18 0:00
30,39,126,212,17,462,175,246,239,143,132,447,427,250,117,15,384,45,73,62,42,43,46,55,0,49,24,14/9/18 0:00,14/9/18 0:00
31,40,453,369,295,471,85,241,278,375,382,389,14,367,188,159,92,47,32,97,89,49,34,2,12,10,38,14/9/18 0:00,14/9/18 0:00
32,41,165,475,378,5,52,136,92,103,1,186,108,306,356,405,437,9,29,29,15,10,30,36,6,79,76,14/9/18 0:00,14/9/18 0:00
33,42,252,299,4,468,184,178,342,161,489,15,66,484,218,419,217,94,67,0,57,91,72,50,20,37,41,14/9/18 0:00,14/9/18 0:00
34,43,413,104,373,494,145,470,88,117,454,450,268,291,327,127,120,79,9,27,23,52,78,4,6,38,41,14/9/18 0:00,14/9/18 0:00
35,44,494,194,16,442,433,134,404,408,321,418,45,198,193,214,9,38,1,44,79,76,92,62,33,14,62,14/9/18 0:00,14/9/18 0:00
36,45,216,226,475,481,336,209,122,311,256,444,218,138,78,145,367,57,46,38,44,94,84,64,29,54,81,14/9/18 0:00,14/9/18 0:00
37,46,107,54,71,203,257,406,43,362,127,295,268,415,276,244,79,38,2,8,64,97,66,97,45,91,21,14/9/18 0:00,14/9/18 0:00
38,47,325,304,114,9,203,413,420,230,13,498,366,406,206,150,56,77,26,72,17,88,95,38,24,32,38,14/9/18 0:00,14/9/18 0:00
39,48,303,312,424,491,465,404,59,208,74,485,110,224,409,395,473,49,37,58,10,60,11,68,78,7,16,14/9/18 0:00,14/9/18 0:00
40,49,193,6,479,394,485,478,25,461,101,94,184,400,457,297,315,83,34,81,77,84,47,5,55,82,14,14/9/18 0:00,14/9/18 0:00
41,50,305,403,405,424,54,292,133,52,123,451,450,411,224,295,126,11,88,54,15,88,81,62,0,4,79,14/9/18 0:00,14/9/18 0:00
42,51,201,25,270,444,327,144,301,42,14,455,355,8,337,59,52,43,95,30,94,46,79,100,77,100,11,14/9/18 0:00,14/9/18 0:00
43,52,153,412,444,391,200,362,297,11,376,55,261,26,98,255,35,38,83,78,53,11,41,30,56,76,89,14/9/18 0:00,14/9/18 0:00
44,53,249,273,21,174,436,117,25,410,339,132,230,364,333,358,488,28,66,84,46,62,60,18,20,94,41,14/9/18 0:00,14/9/18 0:00
45,54,278,472,173,250,247,319,37,497,165,475,421,99,442,446,174,86,57,87,83,30,52,27,6,3,33,14/9/18 0:00,14/9/18 0:00
46,56,201,330,98,72,301,3,384,15,371,57,183,77,379,167,42,15,60,56,72,70,6,87,70,16,78,14/9/18 0:00,14/9/18 0:00
47,57,461,489,364,356,459,140,136,217,95,205,389,365,500,178,255,92,70,87,65,24,31,74,78,64,8,14/9/18 0:00,14/9/18 0:00
48,58,483,23,481,376,282,71,304,85,339,321,19,369,139,447,247,87,85,78,48,14,90,63,18,9,55,14/9/18 0:00,14/9/18 0:00
49,59,385,94,474,366,284,106,212,99,239,393,435,284,300,355,217,94,11,54,22,22,65,71,75,76,16,14/9/18 0:00,14/9/18 0:00
50,60,430,434,188,224,383,261,22,352,456,28,328,8,55,246,462,55,46,56,21,95,89,72,75,33,19,14/9/18 0:00,14/9/18 0:00
51,61,500,114,269,35,39,80,373,260,431,56,216,222,419,89,433,65,22,67,88,23,1,96,46,38,33,14/9/18 0:00,14/9/18 0:00
52,62,104,181,239,104,22,390,344,436,222,153,448,289,279,372,304,41,15,74,93,67,28,98,11,34,71,14/9/18 0:00,14/9/18 0:00
53,63,423,95,347,69,188,291,56,355,241,339,447,466,392,149,89,89,50,11,2,61,24,70,38,44,95,14/9/18 0:00,14/9/18 0:00
54,64,29,396,449,261,319,384,324,131,452,112,140,240,426,148,292,6,6,94,98,36,93,35,40,28,52,14/9/18 0:00,14/9/18 0:00
55,65,127,349,469,431,14,196,252,83,492,200,129,276,210,415,323,80,18,80,40,0,30,12,21,20,74,14/9/18 0:00,14/9/18 0:00
56,66,287,421,353,129,415,427,486,53,190,279,88,94,141,82,131,68,74,9,97,14,59,3,83,60,83,14/9/18 0:00,14/9/18 0:00
57,67,202,299,357,343,14,475,331,441,279,466,165,327,12,109,435,69,15,15,12,89,94,66,32,89,31,14/9/18 0:00,14/9/18 0:00
58,68,359,2,323,226,454,99,326,261,198,121,429,141,283,24,235,23,57,67,98,52,62,99,12,67,82,14/9/18 0:00,14/9/18 0:00
59,69,302,123,166,463,184,440,329,443,310,352,177,91,180,447,133,77,82,74,63,64,63,43,10,11,49,14/9/18 0:00,14/9/18 0:00
60,70,455,226,17,159,161,498,361,254,373,172,186,444,184,45,68,44,67,86,4,95,99,33,49,100,79,14/9/18 0:00,14/9/18 0:00
61,71,107,392,152,360,300,214,99,125,191,146,234,196,45,59,237,44,100,23,3,71,58,64,64,70,7,14/9/18 0:00,14/9/18 0:00
62,72,135,105,251,349,20,429,358,302,237,210,468,72,357,419,340,99,81,91,37,84,14,74,86,7,7,14/9/18 0:00,14/9/18 0:00
63,73,253,74,377,294,226,380,331,52,367,82,190,133,232,344,211,78,96,15,13,58,15,92,54,83,4,14/9/18 0:00,14/9/18 0:00
64,74,1,156,197,69,195,317,150,282,274,129,213,107,57,343,490,5,58,85,17,68,3,76,77,79,58,14/9/18 0:00,14/9/18 0:00
65,75,302,92,219,473,32,484,141,331,132,171,394,197,255,347,233,48,7,36,77,72,75,49,4,30,35,14/9/18 0:00,14/9/18 0:00
66,76,140,227,249,369,421,195,348,158,307,428,29,379,241,218,203,78,29,19,73,3,81,56,100,57,18,14/9/18 0:00,14/9/18 0:00
67,77,193,53,248,160,218,373,152,279,217,41,16,489,441,204,347,5,40,72,46,8,88,93,38,17,62,14/9/18 0:00,14/9/18 0:00
68,78,360,367,314,338,93,404,403,248,410,127,376,410,452,135,389,0,67,17,71,33,8,70,90,13,79,14/9/18 0:00,14/9/18 0:00
69,79,277,225,455,304,332,152,99,499,254,406,368,183,60,57,104,72,73,80,68,14,88,60,93,17,57,14/9/18 0:00,14/9/18 0:00
70,80,339,255,329,129,340,87,413,439,336,499,455,338,202,297,215,34,92,71,14,66,19,10,70,36,33,14/9/18 0:00,14/9/18 0:00
71,81,443,70,476,67,9,341,124,62,377,178,342,158,84,59,366,6,21,17,4,0,41,8,14,52,74,14/9/18 0:00,14/9/18 0:00
72,82,104,443,97,137,255,258,498,131,387,39,328,262,393,38,405,17,18,71,42,27,41,98,63,49,83,14/9/18 0:00,14/9/18 0:00
73,83,194,306,375,133,217,458,231,91,136,433,244,159,225,437,77,65,4,50,53,90,61,57,15,54,29,14/9/18 0:00,14/9/18 0:00
74,84,385,328,471,247,247,166,376,53,451,91,252,192,408,143,477,66,37,35,74,65,71,59,68,72,56,14/9/18 0:00,14/9/18 0:00
75,85,150,279,58,261,58,334,103,183,415,26,366,421,73,459,414,90,43,12,58,58,8,100,57,21,28,14/9/18 0:00,14/9/18 0:00
76,86,170,157,74,239,406,275,17,355,471,205,447,447,141,288,63,42,71,31,52,15,82,76,61,87,68,14/9/18 0:00,14/9/18 0:00
77,87,350,452,318,115,383,351,445,266,147,226,392,416,224,424,377,68,99,16,56,50,11,75,17,98,50,14/9/18 0:00,14/9/18 0:00
78,88,373,72,357,439,453,140,329,139,66,185,187,283,200,273,487,21,51,8,33,25,75,79,18,19,46,14/9/18 0:00,14/9/18 0:00
79,89,260,297,13,190,272,2,442,190,223,112,276,156,328,388,91,58,50,55,60,90,56,18,93,70,50,14/9/18 0:00,14/9/18 0:00
80,100,105,466,359,274,422,491,200,216,78,187,109,45,205,96,297,84,58,26,2,3,38,3,43,58,87,14/9/18 0:00,14/9/18 0:00
81,101,69,52,41,118,141,110,199,249,451,129,217,230,120,310,494,24,79,75,68,38,70,64,86,15,39,14/9/18 0:00,14/9/18 0:00
82,102,21,374,82,11,402,257,450,189,393,239,124,244,205,232,233,66,100,73,16,22,25,27,77,30,84,14/9/18 0:00,14/9/18 0:00
83,103,245,38,383,476,280,205,156,265,282,232,260,199,280,246,170,10,89,38,52,84,3,25,30,79,78,14/9/18 0:00,14/9/18 0:00
84,104,368,302,372,303,320,201,367,103,419,224,204,176,83,349,192,82,82,87,61,17,50,50,25,55,2,14/9/18 0:00,14/9/18 0:00
85,105,50000,50000,50000,50000,50000,96,361,444,253,138,331,64,193,83,272,10,10,10,10,10,41,76,89,24,52,14/9/18 0:00,14/9/18 0:00
86,106,295,287,481,300,259,144,74,428,131,269,129,479,135,173,405,84,83,30,5,83,83,69,70,2,54,14/9/18 0:00,14/9/18 0:00
87,107,195,199,131,338,31,376,242,221,245,478,347,128,368,40,141,6,0,80,22,68,30,85,39,50,90,14/9/18 0:00,14/9/18 0:00
88,108,106,286,13,437,421,312,349,359,416,265,460,118,387,20,6,12,89,93,5,14,38,78,54,23,38,14/9/18 0:00,14/9/18 0:00
89,109,323,153,6,7,268,163,463,379,415,338,126,183,354,435,329,61,75,95,53,47,63,1,38,83,50,14/9/18 0:00,14/9/18 0:00
90,110,66,118,119,214,225,493,278,427,316,103,457,246,474,42,498,97,58,61,83,13,9,89,37,83,26,14/9/18 0:00,14/9/18 0:00
91,111,231,261,105,49,43,206,115,466,26,37,141,471,2,217,382,85,46,30,10,73,23,10,41,57,3,14/9/18 0:00,14/9/18 0:00
92,112,288,19,439,461,363,197,191,405,242,176,154,233,388,430,299,16,59,40,81,79,67,77,17,64,71,14/9/18 0:00,14/9/18 0:00
93,113,46,221,190,74,81,112,233,243,158,336,314,120,119,373,38,97,98,24,17,40,53,7,36,21,40,14/9/18 0:00,14/9/18 0:00
94,114,214,287,452,383,268,196,52,325,80,355,136,466,78,310,117,64,54,1,8,31,23,77,36,5,70,14/9/18 0:00,14/9/18 0:00
95,115,119,253,425,30,286,461,386,159,279,29,44,268,191,296,301,57,66,6,62,43,15,49,77,40,29,14/9/18 0:00,14/9/18 0:00
96,116,393,208,105,313,368,406,243,252,193,361,109,446,290,201,240,33,84,71,5,51,92,92,59,92,90,14/9/18 0:00,14/9/18 0:00
97,117,308,45,2,203,152,101,295,330,485,203,186,378,442,25,59,6,14,68,16,12,10,31,81,67,61,14/9/18 0:00,14/9/18 0:00
98,118,338,129,469,65,379,100,294,110,102,426,240,279,241,252,151,57,69,84,29,50,15,20,29,10,36,14/9/18 0:00,14/9/18 0:00
99,119,117,102,148,153,3,390,89,277,351,64,56,409,109,269,408,65,1,69,87,57,14,0,3,19,63,14/9/18 0:00,14/9/18 0:00
100,120,157,98,168,187,383,348,487,295,250,397,420,86,464,317,164,25,62,49,97,61,27,76,36,59,4,14/9/18 0:00,14/9/18 0:00
101,121,127,85,155,222,337,311,52,117,429,490,47,468,357,96,78,40,45,79,70,16,71,81,82,79,80,14/9/18 0:00,14/9/18 0:00
102,122,390,41,193,373,320,45,68,226,193,118,429,87,269,122,163,26,35,41,13,25,55,72,93,83,46,14/9/18 0:00,14/9/18 0:00
103,123,169,10,314,34,199,182,68,385,109,310,18,190,261,244,419,57,4,61,47,59,86,27,77,91,7,14/9/18 0:00,14/9/18 0:00
104,124,12,125,96,40,418,84,60,449,488,64,67,331,279,242,185,68,89,72,11,88,53,15,93,39,86,14/9/18 0:00,14/9/18 0:00
105,125,210,114,460,328,382,237,112,45,128,494,12,127,455,463,159,8,66,48,6,6,2,91,82,51,95,14/9/18 0:00,14/9/18 0:00
106,126,46,112,269,229,311,142,198,146,220,298,373,16,208,397,160,52,97,46,9,46,81,49,58,14,45,14/9/18 0:00,14/9/18 0:00
107,127,428,397,59,97,163,265,100,478,495,326,120,91,269,433,419,35,31,40,65,55,49,49,60,24,39,14/9/18 0:00,14/9/18 0:00
108,128,39,213,202,343,92,39,219,161,439,496,146,445,98,310,25,34,30,15,71,35,74,68,100,59,95,14/9/18 0:00,14/9/18 0:00
109,129,186,345,453,432,37,72,394,463,417,419,387,419,219,192,155,16,47,23,75,19,22,100,29,55,8,14/9/18 0:00,14/9/18 0:00
110,130,113,191,86,3,278,113,404,90,337,356,164,251,455,362,267,100,5,29,27,52,21,98,67,13,92,14/9/18 0:00,14/9/18 0:00
111,131,488,337,420,13,395,30,167,35,375,20,340,186,78,133,457,61,11,60,81,56,51,96,36,98,10,14/9/18 0:00,14/9/18 0:00
112,132,264,188,77,277,281,282,71,459,329,347,403,19,398,485,88,89,42,52,78,89,16,72,36,94,60,14/9/18 0:00,14/9/18 0:00
113,133,103,319,387,190,224,297,430,312,473,242,499,410,331,208,449,56,5,42,8,95,0,39,54,51,92,14/9/18 0:00,14/9/18 0:00
114,134,208,349,237,356,142,330,174,225,235,131,384,412,386,450,397,44,94,22,55,50,27,90,87,89,2,14/9/18 0:00,14/9/18 0:00
115,135,20,160,288,234,90,140,433,318,166,227,156,113,7,196,160,79,90,1,17,97,15,54,15,73,64,14/9/18 0:00,14/9/18 0:00
116,136,329,86,33,39,27,327,276,105,441,499,49,209,152,496,145,86,62,77,75,17,83,20,26,39,78,14/9/18 0:00,14/9/18 0:00
117,137,99,404,272,26,154,46,74,483,296,50,70,260,411,123,383,12,91,32,99,57,50,59,71,99,26,14/9/18 0:00,14/9/18 0:00
118,138,440,27,366,28,178,397,135,391,128,242,183,437,280,50,13,51,33,22,28,58,6,1,55,5,35,14/9/18 0:00,14/9/18 0:00
119,139,351,471,478,14,293,292,308,15,171,146,454,419,401,319,384,93,69,65,16,19,59,21,99,56,40,14/9/18 0:00,14/9/18 0:00
120,140,261,423,431,270,300,194,333,203,337,29,307,29,212,130,226,48,32,92,56,14,28,45,49,66,44,14/9/18 0:00,14/9/18 0:00
121,141,299,322,384,122,383,81,95,237,442,37,262,25,249,279,356,13,4,44,57,49,34,45,9,86,17,14/9/18 0:00,14/9/18 0:00
122,142,478,471,369,436,308,421,439,7,356,180,366,53,66,469,401,96,96,13,40,62,38,51,62,56,96,14/9/18 0:00,14/9/18 0:00
123,143,428,312,489,381,214,135,495,13,273,363,217,124,108,128,468,13,43,42,29,52,68,6,23,56,36,14/9/18 0:00,14/9/18 0:00
124,144,467,341,19,166,106,106,119,176,480,327,306,488,71,219,274,29,61,82,35,93,70,29,70,85,6,14/9/18 0:00,14/9/18 0:00
125,145,274,263,174,337,485,413,414,15,163,89,320,268,186,356,388,93,29,0,35,25,42,96,30,63,75,14/9/18 0:00,14/9/18 0:00
126,146,234,272,245,85,437,69,5,59,209,418,470,124,182,165,275,14,59,59,24,74,10,30,54,67,3,14/9/18 0:00,14/9/18 0:00
127,147,484,144,325,465,162,175,359,395,206,259,421,255,355,149,365,88,46,87,33,100,30,24,67,99,11,14/9/18 0:00,14/9/18 0:00
128,148,273,82,12,215,144,323,46,427,128,16,209,313,372,329,182,66,21,88,27,10,63,24,8,68,41,14/9/18 0:00,14/9/18 0:00
129,149,343,7,448,55,256,280,154,166,315,343,325,221,361,315,184,77,46,85,42,59,66,41,15,67,15,14/9/18 0:00,14/9/18 0:00
130,150,208,93,122,331,448,133,13,428,415,417,13,411,419,62,291,90,9,36,77,60,98,42,86,42,39,14/9/18 0:00,14/9/18 0:00
131,151,86,364,378,248,408,33,192,428,233,166,403,489,334,437,324,3,37,4,54,61,84,96,0,8,30,14/9/18 0:00,14/9/18 0:00
132,152,136,258,438,268,374,488,152,350,44,426,232,285,370,162,278,66,10,37,16,71,63,57,78,95,35,14/9/18 0:00,14/9/18 0:00
133,153,320,122,166,138,439,187,40,31,353,234,38,402,278,497,232,90,14,79,8,24,34,57,21,6,67,14/9/18 0:00,14/9/18 0:00
134,154,423,477,109,407,272,340,381,342,469,162,142,427,344,264,460,80,7,100,51,8,42,30,89,51,57,14/9/18 0:00,14/9/18 0:00
135,155,322,481,36,347,497,90,477,373,426,78,275,380,14,325,211,32,86,94,36,53,13,8,39,55,19,14/9/18 0:00,14/9/18 0:00
136,156,79,136,115,439,112,436,374,484,6,117,329,335,353,138,454,24,64,94,89,43,74,3,31,68,53,14/9/18 0:00,14/9/18 0:00
137,157,116,3,388,281,6,173,111,2,374,27,349,100,302,221,295,76,67,23,26,89,31,58,32,22,55,14/9/18 0:00,14/9/18 0:00
138,158,435,243,63,171,414,418,66,255,323,240,451,261,453,153,228,44,79,19,65,9,54,44,40,45,62,14/9/18 0:00,14/9/18 0:00
139,159,27,75,252,232,19,68,30,82,233,178,71,232,27,436,181,44,4,50,6,14,54,57,12,33,75,14/9/18 0:00,14/9/18 0:00
140,160,76,464,53,182,493,285,113,60,46,391,118,33,128,486,293,49,74,10,0,27,55,54,36,69,50,14/9/18 0:00,14/9/18 0:00
141,161,337,224,264,368,254,362,28,52,348,376,271,409,349,233,294,98,26,29,55,67,91,8,17,83,78,14/9/18 0:00,14/9/18 0:00
142,162,267,248,304,66,163,340,138,334,9,481,157,301,150,362,419,19,0,40,41,3,19,97,58,84,71,14/9/18 0:00,14/9/18 0:00
143,163,494,135,302,270,318,219,27,195,295,226,457,293,352,282,68,3,19,24,93,93,48,63,69,55,21,14/9/18 0:00,14/9/18 0:00
144,164,328,450,451,194,275,120,334,286,28,326,155,312,363,123,17,34,59,16,79,15,57,90,51,49,38,14/9/18 0:00,14/9/18 0:00
145,165,20,49,217,477,475,434,194,51,50,462,392,434,428,97,177,17,92,5,34,7,84,97,64,38,88,14/9/18 0:00,14/9/18 0:00
146,166,36,26,103,237,79,162,192,343,250,207,423,101,440,380,330,56,8,58,73,17,7,4,66,54,32,14/9/18 0:00,14/9/18 0:00
147,167,132,329,171,181,480,3,85,247,420,443,301,375,17,409,148,83,72,31,87,92,21,73,96,36,1,14/9/18 0:00,14/9/18 0:00
148,168,443,401,265,378,448,86,71,471,91,216,398,95,114,7,186,35,12,99,8,2,25,35,1,60,66,14/9/18 0:00,14/9/18 0:00
149,169,9,405,417,413,254,433,206,479,398,375,236,464,147,73,219,35,24,88,68,55,58,2,17,4,7,14/9/18 0:00,14/9/18 0:00
150,170,367,345,261,328,142,185,150,165,461,33,341,493,112,55,309,99,20,85,86,58,47,100,98,81,58,14/9/18 0:00,14/9/18 0:00
151,171,35,72,99,402,419,227,471,77,160,82,344,343,398,131,194,35,11,28,2,41,66,11,34,42,4,14/9/18 0:00,14/9/18 0:00
152,172,471,339,265,98,391,432,140,334,254,62,470,377,205,276,48,18,36,33,35,6,8,41,75,96,9,14/9/18 0:00,14/9/18 0:00
153,173,11,219,334,223,192,21,60,211,495,403,284,442,10,465,39,86,69,56,6,10,86,64,42,8,43,14/9/18 0:00,14/9/18 0:00
154,174,350,113,214,101,451,222,301,259,301,201,185,485,318,480,325,82,95,55,97,79,71,99,47,41,72,14/9/18 0:00,14/9/18 0:00
155,175,393,35,236,367,59,479,36,260,70,155,33,211,293,69,167,54,84,6,72,46,11,30,55,51,25,14/9/18 0:00,14/9/18 0:00
156,176,366,275,139,266,437,46,256,351,305,281,233,196,270,230,428,83,64,64,14,57,42,44,13,97,38,14/9/18 0:00,14/9/18 0:00
157,177,249,448,457,248,234,214,124,82,353,225,205,293,166,131,410,78,93,93,11,100,57,31,64,5,86,14/9/18 0:00,14/9/18 0:00
158,178,348,463,278,24,42,228,483,327,72,253,473,476,289,89,371,96,60,19,52,88,18,55,100,47,6,14/9/18 0:00,14/9/18 0:00
159,179,304,294,148,75,239,408,238,45,495,337,382,261,247,83,390,71,42,24,38,18,7,30,82,62,45,14/9/18 0:00,14/9/18 0:00
160,180,270,67,17,126,29,207,327,345,492,236,242,426,125,440,123,98,1,39,90,92,32,40,99,6,8,14/9/18 0:00,14/9/18 0:00
161,181,345,261,141,464,403,142,268,68,156,133,363,369,43,20,315,34,81,21,20,15,41,6,63,27,23,14/9/18 0:00,14/9/18 0:00
162,182,168,477,241,116,308,71,435,142,347,26,471,195,30,181,72,82,77,98,93,72,51,85,6,90,43,14/9/18 0:00,14/9/18 0:00
163,183,205,305,137,427,493,312,33,279,333,433,109,262,460,407,216,17,3,65,27,4,4,56,18,52,83,14/9/18 0:00,14/9/18 0:00
164,184,316,341,50,85,223,208,370,417,219,112,461,329,47,478,378,7,65,69,93,76,59,50,72,14,99,14/9/18 0:00,14/9/18 0:00
165,185,157,18,24,286,449,181,89,285,483,353,360,32,112,176,217,81,38,48,65,82,36,6,13,28,54,14/9/18 0:00,14/9/18 0:00
166,186,167,403,357,225,244,106,123,459,164,418,489,249,239,95,215,60,20,98,77,1,68,50,80,97,34,14/9/18 0:00,14/9/18 0:00
167,187,352,442,394,106,476,164,342,328,110,94,456,282,188,408,379,61,89,54,63,53,22,51,98,67,96,14/9/18 0:00,14/9/18 0:00
168,188,57,477,480,356,437,102,49,140,6,55,420,54,368,412,55,4,61,32,42,19,34,15,53,3,54,14/9/18 0:00,14/9/18 0:00
169,189,356,213,465,112,22,376,78,141,23,98,252,467,75,16,124,91,95,21,98,14,35,37,65,66,64,14/9/18 0:00,14/9/18 0:00
170,190,316,106,270,342,183,476,478,224,386,137,240,297,121,154,49,2,53,91,0,35,79,57,71,91,53,14/9/18 0:00,14/9/18 0:00
171,191,15,360,116,383,423,152,63,379,55,416,459,370,447,338,302,0,30,12,16,79,8,96,61,14,95,14/9/18 0:00,14/9/18 0:00
172,193,85,188,488,44,312,126,139,359,47,109,250,127,112,351,448,21,18,46,98,39,13,63,50,3,100,14/9/18 0:00,14/9/18 0:00
173,194,388,471,128,306,372,445,201,1,121,319,128,444,408,48,44,19,82,17,40,2,100,22,0,27,80,14/9/18 0:00,14/9/18 0:00
174,195,131,347,310,317,276,241,203,122,424,71,61,484,355,452,4,72,37,2,93,53,0,54,83,19,1,14/9/18 0:00,14/9/18 0:00
175,196,283,493,131,290,217,184,470,9,322,330,27,54,296,302,367,11,95,20,65,39,67,75,65,94,21,14/9/18 0:00,14/9/18 0:00
176,197,181,164,9,473,12,111,346,195,199,217,455,168,316,306,170,84,80,84,16,53,41,37,23,48,88,14/9/18 0:00,14/9/18 0:00
177,198,33,11,330,76,67,255,3,92,280,322,327,401,282,241,338,21,38,97,36,12,82,86,24,97,37,14/9/18 0:00,14/9/18 0:00
178,199,446,449,151,368,11,76,188,341,34,157,50,457,352,139,390,61,95,93,47,22,83,89,63,11,50,14/9/18 0:00,14/9/18 0:00
179,200,225,27,444,75,480,52,57,466,158,223,361,18,73,497,173,98,95,85,62,99,89,13,27,16,95,14/9/18 0:00,14/9/18 0:00
180,201,257,442,37,458,361,236,405,371,344,88,137,40,135,165,284,19,94,31,61,38,59,78,63,16,93,14/9/18 0:00,14/9/18 0:00
