id,agent_id,agent_name,tier_y,tier_x,tenure,pif_x_auto,pif_x_home,pif_x_otherpc,pif_x_financial,pif_x_total,BusZip5,BusZip3,created_at,updated_at,multiline,retention,pif_y_home,pif_y_hvh,pif_y_other,pif_y_total,premium_y_total,agent_city
3033,3033,Aiden Patel LLC,1,4,11+,6387,4035,7079,187,17688,85234,852,2014-09-13 00:00:00,2014-09-13 00:00:00,0.94,0.69,1047,14,1340,1286,1388880,Springfield
2812,2812,Christian Nelson LLC,2,1,6-10,14596,5758,732,4025,25111,13066,130,2014-09-13 00:00:00,2014-09-13 00:00:00,0.71,0.90,36,7,2210,1443,1558440,Los Angeles
562,562,Samuel Watson Assoc,5,5,11+,18733,6675,7823,3617,36848,12401,124,2014-09-13 00:00:00,2014-09-13 00:00:00,0.13,0.09,433,76,3030,158,180120,Tucson
2609,2609,Samuel Johnson LLC,1,4,3-5,2915,5013,1170,3295,12393,35630,356,2014-09-13 00:00:00,2014-09-13 00:00:00,0.68,0.78,693,17,2385,612,618120,Chicago
7533,7533,Evan Bell Assoc,4,2,11+,6509,679,7624,5057,19869,6037,60,2014-09-13 00:00:00,2014-09-13 00:00:00,0.36,0.35,529,3,747,2452,2329400,Seattle
1621,1621,Dylan Perry Insurance,2,4,0-2,9644,7804,2288,3001,22737,37129,371,2014-09-13 00:00:00,2014-09-13 00:00:00,0.88,0.80,2542,56,1020,122,126880,Tucson
4992,4992,Connor Gutierrez LLC,1,2,3-5,15641,5675,1550,473,23339,75604,756,2014-09-13 00:00:00,2014-09-13 00:00:00,0.92,0.76,409,77,2012,1245,1220100,New York
5974,5974,David Edwards Group,2,3,11+,10604,7381,5982,5067,29034,11040,110,2014-09-13 00:00:00,2014-09-13 00:00:00,0.65,0.83,2210,37,668,839,922900,Springfield
3742,3742,Mason Fisher LLC,2,2,11+,3752,4203,5514,2426,15895,44805,448,2014-09-13 00:00:00,2014-09-13 00:00:00,0.71,0.93,2581,59,1071,63,70560,Orlando
5540,5540,Daniel Anderson Inc,3,4,11+,13670,2045,1508,1053,18276,37130,371,2014-09-13 00:00:00,2014-09-13 00:00:00,0.36,0.50,1105,36,510,2132,2281240,Chicago
6816,6816,Cooper Parker Enterprise,5,2,11+,19563,2123,1850,1437,24973,91761,917,2014-09-13 00:00:00,2014-09-13 00:00:00,0.15,0.08,192,28,2836,762,876300,San Francisco
8283,8283,Blake Peterson Assoc,3,3,11+,17793,7366,2831,6557,34547,95648,956,2014-09-13 00:00:00,2014-09-13 00:00:00,0.63,0.47,529,57,615,2622,2517120,Chicago
4071,4071,Juan Anderson LLC,3,3,11+,4273,4684,3444,3809,16210,14043,140,2014-09-13 00:00:00,2014-09-13 00:00:00,0.62,0.65,666,21,865,2280,2451000,New York
3820,3820,John Turner LLC,1,3,6-10,9837,4782,3439,7323,25381,70560,705,2014-09-13 00:00:00,2014-09-13 00:00:00,0.66,0.67,2599,61,1159,16,16640,Boston
1707,1707,Tristan Lopez Agency,2,3,0-2,792,4342,1848,3571,10553,27604,276,2014-09-13 00:00:00,2014-09-13 00:00:00,0.72,0.78,505,57,1108,2166,2209320,Tucson
2254,2254,Dominic Bailey Agency,4,1,11+,11351,4036,6266,6233,27886,75248,752,2014-09-13 00:00:00,2014-09-13 00:00:00,0.59,0.46,897,41,72,2831,3085790,Boston
5814,5814,Jason Turner Agency,4,5,3-5,5761,2767,3469,169,12166,61571,615,2014-09-13 00:00:00,2014-09-13 00:00:00,0.55,0.64,719,29,2545,559,547820,Miami
1548,1548,Ethan Jones LLC,3,4,11+,10911,6637,5794,3981,27323,85283,852,2014-09-13 00:00:00,2014-09-13 00:00:00,0.65,0.45,2627,44,1041,141,156510,Orlando
5186,5186,Nicholas Sanders LLC,4,2,6-10,11261,174,6565,1801,19801,78840,788,2014-09-13 00:00:00,2014-09-13 00:00:00,0.54,0.46,1936,27,213,1679,1746160,Chicago
251,251,Benjamin Kelly Agency,4,1,6-10,1228,5112,713,6713,13766,85260,852,2014-09-13 00:00:00,2014-09-13 00:00:00,0.57,0.57,603,1,2724,539,582120,Boston
633,633,Bryson Patel Agency,4,1,3-5,17290,3520,3182,2243,26235,19002,190,2014-09-13 00:00:00,2014-09-13 00:00:00,0.63,0.42,342,88,805,2656,2576320,San Francisco
6096,6096,Hudson Jackson Inc,5,2,11+,8319,1210,4539,6129,20197,30165,301,2014-09-13 00:00:00,2014-09-13 00:00:00,0.24,0.29,102,34,3084,677,710850,Boston
3125,3125,Jaxon Howard LLC,1,2,0-2,2628,3428,830,2141,9027,80112,801,2014-09-13 00:00:00,2014-09-13 00:00:00,0.70,0.79,293,81,3339,186,180420,New York
6408,6408,Carlos Watson Group,2,5,0-2,14712,5065,6592,3494,29863,77385,773,2014-09-13 00:00:00,2014-09-13 00:00:00,0.65,0.76,1846,23,16,2025,2268000,Boston
1488,1488,John Gomez Enterprise,5,1,6-10,19156,137,2557,4532,26382,36867,368,2014-09-13 00:00:00,2014-09-13 00:00:00,0.07,0.29,303,44,155,3426,3494520,Seattle
2731,2731,Charles Rogers Enterprise,4,4,6-10,2381,4604,6769,5893,19647,89146,891,2014-09-13 00:00:00,2014-09-13 00:00:00,0.44,0.50,1440,57,881,1550,1627500,Boston
1415,1415,Nolan Price Insurance,4,2,11+,17333,4361,6241,3963,31898,43232,432,2014-09-13 00:00:00,2014-09-13 00:00:00,0.40,0.44,2394,43,760,764,748720,Miami
5142,5142,Caleb Nguyen LLC,4,3,11+,18994,4051,2050,1607,26702,98204,982,2014-09-13 00:00:00,2014-09-13 00:00:00,0.50,0.51,2485,54,963,463,509300,Orlando
7455,7455,Thomas Lopez Group,4,4,,15262,1247,3779,1400,21688,8108,81,2014-09-13 00:00:00,2014-09-13 00:00:00,0.41,0.65,1472,27,580,1893,2176950,Tucson
5761,5761,Brayden Brooks LLC,3,1,3-5,11391,7060,5385,6922,30758,29651,296,2014-09-13 00:00:00,2014-09-13 00:00:00,0.46,0.44,127,58,2451,1357,1424850,Seattle
3973,3973,Matthew Flores Group,2,1,11+,9403,798,721,7355,18277,30120,301,2014-09-13 00:00:00,2014-09-13 00:00:00,0.69,0.71,2425,49,297,1228,1166600,Orlando
3917,3917,Thomas Barnes Team,4,2,11+,2616,295,3707,6053,12671,98052,980,2014-09-13 00:00:00,2014-09-13 00:00:00,0.62,0.38,694,18,2589,710,781000,New York
1769,1769,Matthew Cook LLC,5,3,0-2,8697,3455,7073,394,19619,44053,440,2014-09-13 00:00:00,2014-09-13 00:00:00,0.30,0.22,760,83,448,2726,2835040,Los Angeles
1628,1628,Jayden Roberts LLC,1,1,3-5,11598,5184,6960,6451,30193,30338,303,2014-09-13 00:00:00,2014-09-13 00:00:00,0.91,0.68,2427,74,1070,451,482570,Orlando
4658,4658,Tristan Gomez Insurance,2,3,3-5,17559,2429,1553,5239,26780,48917,489,2014-09-13 00:00:00,2014-09-13 00:00:00,0.66,0.85,789,93,781,2373,2728950,Springfield
6617,6617,Brayden Sanchez Assoc,2,4,6-10,11719,1225,1108,511,14563,11222,112,2014-09-13 00:00:00,2014-09-13 00:00:00,0.66,0.78,343,35,2706,952,913920,San Francisco
7432,7432,Jacob Rogers LLC,4,1,,13413,4951,5317,3797,27478,7901,79,2014-09-13 00:00:00,2014-09-13 00:00:00,0.56,0.59,1157,37,1037,1819,2073660,Seattle
4980,4980,Kevin Cox Inc,2,5,,5550,6309,7084,2203,21146,78231,782,2014-09-13 00:00:00,2014-09-13 00:00:00,0.76,0.72,143,92,731,3103,3040940,Boston
3003,3003,Parker Ramirez Agency,5,3,11+,12308,6415,3343,4968,27034,36111,361,2014-09-13 00:00:00,2014-09-13 00:00:00,0.14,0.12,1230,76,2167,622,640660,Boston
7836,7836,Brody Wong Team,5,4,11+,2921,6045,6659,6261,21886,60804,608,2014-09-13 00:00:00,2014-09-13 00:00:00,0.14,0.12,412,47,1361,2278,2164100,Orlando
7609,7609,Matthew Martinez Insurance,5,1,0-2,2565,5293,5722,210,13790,32750,327,2014-09-13 00:00:00,2014-09-13 00:00:00,0.27,0.08,1716,73,53,2268,2449440,Chicago
4280,4280,Kayden Murphy Group,2,5,0-2,13914,3801,6206,6340,30261,60187,601,2014-09-13 00:00:00,2014-09-13 00:00:00,0.71,0.73,782,29,391,2931,3224100,Los Angeles
8293,8293,Cameron Bell Team,2,4,11+,10995,1657,6169,4302,23123,77346,773,2014-09-13 00:00:00,2014-09-13 00:00:00,0.95,0.72,1218,67,1085,1769,1715930,Tucson
2765,2765,Luis Lee Group,1,2,0-2,3933,3771,7679,3123,18506,96814,968,2014-09-13 00:00:00,2014-09-13 00:00:00,0.94,0.87,233,12,3893,6,6720,Seattle
5250,5250,Andrew Powell Inc,4,2,,506,4142,781,2354,7783,7849,78,2014-09-13 00:00:00,2014-09-13 00:00:00,0.46,0.53,2762,90,1127,174,167040,Springfield
6208,6208,David Bennett Inc,4,4,11+,16596,7310,3701,3302,30909,77546,775,2014-09-13 00:00:00,2014-09-13 00:00:00,0.54,0.36,146,13,2538,1486,1560300,Tucson
5530,5530,Connor Myers LLC,5,1,11+,18602,7220,6202,728,32752,44122,441,2014-09-13 00:00:00,2014-09-13 00:00:00,0.18,0.23,137,17,2061,1972,2011440,Boston
2908,2908,Isaac Rodriguez Team,2,1,6-10,1050,6857,4641,7673,20221,30518,305,2014-09-13 00:00:00,2014-09-13 00:00:00,0.66,0.70,674,67,1092,2355,2543400,New York
5334,5334,Andrew Rogers Enterprise,3,4,0-2,16464,3236,2938,879,23517,77573,775,2014-09-13 00:00:00,2014-09-13 00:00:00,0.65,0.46,1350,96,1976,767,813020,Seattle
4305,4305,Ryder Roberts Assoc,1,2,0-2,16268,4673,2769,2861,26571,56308,563,2014-09-13 00:00:00,2014-09-13 00:00:00,0.70,0.79,950,20,2964,263,297190,Seattle
5303,5303,Jonathan Collins Team,4,2,11+,5219,5293,2669,6072,19253,87532,875,2014-09-13 00:00:00,2014-09-13 00:00:00,0.52,0.44,969,10,1980,1242,1428300,San Francisco
7511,7511,Ryder Smith Agency,1,2,11+,3470,2296,1120,1825,8711,33803,338,2014-09-13 00:00:00,2014-09-13 00:00:00,0.77,0.78,838,66,2762,544,598400,Chicago
4446,4446,Owen Jenkins Group,1,4,6-10,15737,4076,426,7772,28011,92011,920,2014-09-13 00:00:00,2014-09-13 00:00:00,0.91,0.92,554,38,2809,811,794780,Los Angeles
3819,3819,Elijah Cruz Enterprise,1,3,11+,4812,4555,7272,3395,20034,70058,700,2014-09-13 00:00:00,2014-09-13 00:00:00,0.74,0.66,408,94,2004,1707,1758210,Springfield
1506,1506,Evan Sullivan LLC,1,5,11+,6444,1225,1735,7679,17083,11203,112,2014-09-13 00:00:00,2014-09-13 00:00:00,0.82,0.79,971,45,2833,378,359100,Los Angeles
7672,7672,Easton Howard Team,5,2,3-5,6940,4233,2877,459,14509,77090,770,2014-09-13 00:00:00,2014-09-13 00:00:00,0.21,0.11,3391,58,831,18,19260,Seattle
4406,4406,Christian Edwards Team,1,1,0-2,9616,5447,5002,5434,25499,72802,728,2014-09-13 00:00:00,2014-09-13 00:00:00,0.89,0.90,1944,66,227,2068,1985280,Chicago
1759,1759,Noah Bailey LLC,3,1,0-2,9274,1286,4300,179,15039,60544,605,2014-09-13 00:00:00,2014-09-13 00:00:00,0.56,0.35,2941,15,863,487,482130,San Francisco
7350,7350,Easton Wood LLC,3,2,6-10,3840,3755,1774,7156,16525,75110,751,2014-09-13 00:00:00,2014-09-13 00:00:00,0.41,0.37,2629,92,634,952,942480,Orlando
5823,5823,Oliver Peterson Agency,3,2,11+,8358,434,1309,4552,14653,6250,62,2014-09-13 00:00:00,2014-09-13 00:00:00,0.40,0.53,167,36,3599,507,532350,Chicago
3852,3852,Jace Lewis Team,1,1,11+,15895,7056,6944,287,30182,64063,640,2014-09-13 00:00:00,2014-09-13 00:00:00,0.70,0.70,112,30,2425,1747,1886760,Orlando
7714,7714,Nicholas Brooks LLC,2,2,11+,7447,6233,2701,3064,19445,70714,707,2014-09-13 00:00:00,2014-09-13 00:00:00,0.65,0.92,433,31,2554,1297,1258090,Los Angeles
